74	0	110968
73	135693	271521
85	299769	357697
76	434375	537469
69	603781	706845
71	734856	855419
69	831877	925950
32	1063457	1152463
68	1287708	1377713
65	1410949	1462541
77	1521402	1600464
73	1630501	1681271
78	1730221	1801265
71	1869396	1940161
32	2246889	2317901
8	2851523	2898540
8	3028206	3091208
68	3321956	3423762
65	3407776	3477859
77	3527820	3575106
73	3615420	3670478
78	3709970	3781074
71	3856397	3943812
187	5908592	6019612
32	7012207	7147286
51	8442043	8537882
13	8803412	8898473
74	9191857	9263493
73	9303140	9390339
85	9423749	9494869
76	9743591	9814629
69	9875423	9969660
71	10156506	10298113
69	10299528	10385056
32	10591840	10707194
68	10803203	10920868
65	10896869	10990862
77	11038109	11085728
73	11107714	11169453
78	11225027	11304082
71	11344987	11440075
32	11863058	11967477
13	12161675	12256681
67	13092424	13179599
79	13218655	13281715
78	13330466	13409621
71	13493503	13589132
88	13889319	13960382
73	13977291	14040379
65	14071122	14126194
79	14162283	14225307
32	14329408	14420528
89	14503788	14549213
69	14597995	14661154
89	14723525	14786563
69	14864960	14927956
32	15270051	15362856
68	15486602	15537350
85	15553218	15632242
73	15647686	15726741
87	15776376	15839323
79	15883305	15946221
83	16073881	16144943
72	16179019	16258223
85	16259900	16424984
79	16377967	16480021
32	16572856	16695738
188	16741167	16850499
67	17078628	17121612
72	17149999	17221048
73	17262369	17333439
83	17378681	17457733
72	17474211	17577289
85	17579133	17735524
73	17680721	17822743
66	18049089	18120215
85	18178646	18265730
70	18502867	18605887
8	18804936	18859966
87	18894914	19012980
65	18981406	19043779
78	19060365	19131403
71	19196029	19259114
32	19927355	20028307
87	20263012	20413078
65	20389612	20483601
74	20528176	20615382
73	20614758	20693680
78	20751529	20830629
71	20926242	21012331
88	21148354	21243496
8	21450929	21498097
82	21544234	21638340
69	21614752	21708787
78	21728477	21791482
32	22093191	22188347
13	22340300	22442660
90	22888998	22977772
72	22977110	23031931
65	23082212	23164121
78	23162864	23241884
71	23335691	23406642
68	23532635	23651631
65	23697076	23776094
89	23853555	23940748
73	23940090	24011068
72	24083022	24200869
79	24179019	24303859
85	24287864	24413860
32	24765070	24868198
67	24983455	25054685
65	25126031	25196803
73	25235570	25298430
90	25329177	25424256
72	25441255	25512158
73	25527639	25620335
68	25622129	25722316
65	25690102	25792161
79	25896736	25959517
32	26216496	26331643
13	26716040	26851046
77	27130343	27201449
69	27252078	27322808
73	27362288	27449296
89	27510471	27636635
79	27614418	27763456
85	27747436	27881444
32	28052957	28140437
71	28299985	28404430
79	28403620	28490530
78	28559999	28655049
71	28713490	28784475
67	28901011	29003620
72	29003032	29043057
65	29109377	29189948
78	29188889	29259731
68	29340078	29427120
65	29762042	29833376
78	29868613	29931607
71	29985418	30040449
32	30162932	30260897
74	30295876	30314736
73	30368277	30491740
85	30493319	30546642
32	30761205	30850676
77	31030071	31109088
69	31161379	31257550
73	31256897	31311852
89	31365864	31444898
79	31460838	31570903
85	31554875	31664871
32	31693071	31809311
88	31893360	32035373
73	31974499	32052226
78	32149083	32252054
90	32354119	32464104
72	32427156	32545089
79	32544229	32608198
78	32662275	32811831
71	32813070	32882738
71	32963219	33074508
85	33073790	33183790
79	33153649	33271663
32	33437758	33525313
13	33777579	33896590
67	34389364	34507995
79	34507366	34556349
78	34609999	34727679
71	34728887	34798743
88	34937057	35015800
73	35015086	35064110
65	35104719	35175806
79	35229589	35292645
32	35457809	35561125
76	35564221	35648082
65	35672124	35743143
79	35763007	35830639
83	35831770	35909607
72	35942462	36037519
73	36036975	36116016
32	36191313	36298703
74	36341095	36377634
73	36425126	36496081
85	36535817	36638851
65	36709147	36780235
79	36982915	37053304
87	37206440	37285482
79	37358015	37413052
32	37692816	37784923
8	38391659	38446672
8	38609054	38672028
74	42116408	42219121
73	42340805	42482485
65	42992788	43119603
79	43729593	43858567
32	44553270	44673131
87	45417056	45544041
79	46006207	46109353
